TYPE; FULLCODE; STATE; COUNTY; TRACT; SHEETS,COUNTY_NAME,,,,
TRACT;06001408800;06;001;4088.00;1,ALAMEDA,,,,
TRACT;06001408900;06;001;4089.00;1,ALAMEDA,,,,
TRACT;06001409000;06;001;4090.00;1,ALAMEDA,,,,
TRACT;06001409100;06;001;4091.00;1,ALAMEDA,,,,
TRACT;06001409200;06;001;4092.00;1,ALAMEDA,,,,
TRACT;06001409300;06;001;4093.00;1,ALAMEDA,,,,
TRACT;06001409400;06;001;4094.00;1,ALAMEDA,,,,
TRACT;06001409500;06;001;4095.00;1,ALAMEDA,,,,
TRACT;06001409600;06;001;4096.00;1,ALAMEDA,,,,
TRACT;06001409700;06;001;4097.00;1,ALAMEDA,,,,
TRACT;06001409800;06;001;4098.00;1,ALAMEDA,,,,
TRACT;06001409900;06;001;4099.00;1,ALAMEDA,,,,
TRACT;06001410000;06;001;4100.00;1,ALAMEDA,,,,
TRACT;06001410100;06;001;4101.00;1,ALAMEDA,,,,
TRACT;06001410200;06;001;4102.00;1,ALAMEDA,,,,
TRACT;06001410300;06;001;4103.00;1,ALAMEDA,,,,
TRACT;06001410400;06;001;4104.00;1,ALAMEDA,,,,
TRACT;06001410500;06;001;4105.00;1,ALAMEDA,,,,
TRACT;06001420100;06;001;4201.00;1,ALAMEDA,,,,
TRACT;06001420200;06;001;4202.00;1,ALAMEDA,,,,
TRACT;06001420301;06;001;4203.01;1,ALAMEDA,,,,
TRACT;06001420302;06;001;4203.02;1,ALAMEDA,,,,
TRACT;06001420401;06;001;4204.01;1,ALAMEDA,,,,
TRACT;06001420402;06;001;4204.02;1,ALAMEDA,,,,
TRACT;06001420500;06;001;4205.00;1,ALAMEDA,,,,
TRACT;06001420600;06;001;4206.00;1,ALAMEDA,,,,
TRACT;06001421100;06;001;4211.00;1,ALAMEDA,,,,
TRACT;06001421200;06;001;4212.00;1,ALAMEDA,,,,
TRACT;06001421300;06;001;4213.00;1,ALAMEDA,,,,
TRACT;06001421400;06;001;4214.00;1,ALAMEDA,,,,
TRACT;06001421500;06;001;4215.00;1,ALAMEDA,,,,
TRACT;06001421600;06;001;4216.00;1,ALAMEDA,,,,
TRACT;06001421700;06;001;4217.00;1,ALAMEDA,,,,
TRACT;06001421800;06;001;4218.00;1,ALAMEDA,,,,
TRACT;06001421900;06;001;4219.00;1,ALAMEDA,,,,
TRACT;06001422000;06;001;4220.00;1,ALAMEDA,,,,
TRACT;06001422100;06;001;4221.00;1,ALAMEDA,,,,
TRACT;06001422200;06;001;4222.00;1,ALAMEDA,,,,
TRACT;06001422300;06;001;4223.00;1,ALAMEDA,,,,
TRACT;06001422400;06;001;4224.00;1,ALAMEDA,,,,
TRACT;06001422500;06;001;4225.00;1,ALAMEDA,,,,
TRACT;06001422700;06;001;4227.00;1,ALAMEDA,,,,
TRACT;06001422800;06;001;4228.00;1,ALAMEDA,,,,
TRACT;06001422901;06;001;4229.01;1,ALAMEDA,,,,
TRACT;06001422902;06;001;4229.02;1,ALAMEDA,,,,
TRACT;06001423000;06;001;4230.00;1,ALAMEDA,,,,
TRACT;06001423100;06;001;4231.00;1,ALAMEDA,,,,
TRACT;06001423200;06;001;4232.00;1,ALAMEDA,,,,
TRACT;06001423300;06;001;4233.00;1,ALAMEDA,,,,
TRACT;06001423400;06;001;4234.00;1,ALAMEDA,,,,
TRACT;06001423500;06;001;4235.00;1,ALAMEDA,,,,
TRACT;06001423601;06;001;4236.01;1,ALAMEDA,,,,
TRACT;06001423602;06;001;4236.02;1,ALAMEDA,,,,
TRACT;06001423700;06;001;4237.00;1,ALAMEDA,,,,
TRACT;06001423800;06;001;4238.00;1,ALAMEDA,,,,
TRACT;06001423901;06;001;4239.01;1,ALAMEDA,,,,
TRACT;06001423902;06;001;4239.02;1,ALAMEDA,,,,
TRACT;06001424001;06;001;4240.01;1,ALAMEDA,,,,
TRACT;06001424002;06;001;4240.02;1,ALAMEDA,,,,
TRACT;06001425101;06;001;4251.01;1,ALAMEDA,,,,
TRACT;06001425102;06;001;4251.02;1,ALAMEDA,,,,
TRACT;06001425103;06;001;4251.03;1,ALAMEDA,,,,
TRACT;06001425104;06;001;4251.04;1,ALAMEDA,,,,
TRACT;06001426100;06;001;4261.00;1,ALAMEDA,,,,
TRACT;06001426200;06;001;4262.00;1,ALAMEDA,,,,
TRACT;06001427100;06;001;4271.00;1,ALAMEDA,,,,
TRACT;06001427200;06;001;4272.00;1,ALAMEDA,,,,
TRACT;06001427300;06;001;4273.00;1,ALAMEDA,,,,
TRACT;06001427600;06;001;4276.00;1,ALAMEDA,,,,
TRACT;06001427700;06;001;4277.00;1,ALAMEDA,,,,
TRACT;06001427800;06;001;4278.00;1,ALAMEDA,,,,
TRACT;06001427900;06;001;4279.00;1,ALAMEDA,,,,
TRACT;06001428000;06;001;4280.00;1,ALAMEDA,,,,
TRACT;06001428100;06;001;4281.00;1,ALAMEDA,,,,
TRACT;06001428200;06;001;4282.00;1,ALAMEDA,,,,
TRACT;06001428301;06;001;4283.01;1,ALAMEDA,,,,
TRACT;06001428302;06;001;4283.02;1,ALAMEDA,,,,
TRACT;06001428400;06;001;4284.00;1,ALAMEDA,,,,
TRACT;06001428500;06;001;4285.00;1,ALAMEDA,,,,
